,date,close_2Y,open_2Y,change_2Y,time,infringementdummy,ruleoflawdummy,budgetdummy,financialmarketsdummy,rate_mom,_merge,day_of_week
3,01/10/2014,2.9489999,2.927,-0.0075161722,4,0,0,,0,0.0,Master only (1),Friday
9,01/17/2014,2.9449999,2.928,-0.0058059972,10,0,0,,0,0.0,Master only (1),Friday
15,01/24/2014,2.9949999,2.9790001,-0.0053708605,16,0,0,,0,0.0,Master only (1),Friday
22,01/31/2014,3.2490001,3.1800001,-0.021698115,23,0,0,,0,0.0,Master only (1),Friday
29,02/07/2014,3.1110001,3.0829999,-0.0090821013,30,0,0,,0,0.0,Master only (1),Friday
36,02/14/2014,3.052,3.108,0.018018017,37,0,0,,0,0.0,Master only (1),Friday
43,02/21/2014,3.0469999,3.0769999,0.0097497469,44,0,0,,0,0.0,Master only (1),Friday
50,02/28/2014,3.046,3.04,-0.0019736981,51,0,0,,0,0.0,Master only (1),Friday
57,03/07/2014,3.036,2.984,-0.01742629,58,0,0,,0,0.0,Master only (1),Friday
64,03/14/2014,3.006,3.0250001,0.0062810094,65,0,0,,0,0.0,Master only (1),Friday
71,03/21/2014,3.0090001,3.092,0.026843449,72,0,0,,0,0.0,Master only (1),Friday
78,03/28/2014,3.007,3.017,0.0033145477,79,1,0,,0,0.0,Master only (1),Friday
85,04/04/2014,2.9549999,3.0439999,0.029237842,86,0,0,,0,0.0,Master only (1),Friday
92,04/11/2014,2.937,2.937,0.0,93,0,0,,0,0.0,Master only (1),Friday
99,04/18/2014,2.993,2.993,0.0,100,0,0,,0,0.0,Master only (1),Friday
106,04/25/2014,2.9000001,3.0280001,0.042272132,107,0,0,,0,0.0,Master only (1),Friday
113,05/02/2014,2.901,2.9519999,0.017276382,114,0,0,,0,0.0,Master only (1),Friday
120,05/09/2014,2.875,2.855,-0.0070052473,121,0,0,,0,0.0,Master only (1),Friday
127,05/16/2014,2.8659999,2.8659999,0.0,128,0,0,,0,0.0,Master only (1),Friday
134,05/23/2014,2.7609999,2.7920001,0.011103201,135,0,0,,0,0.0,Master only (1),Friday
141,05/30/2014,2.733,2.7130001,-0.0073719057,142,0,0,,0,0.0,Master only (1),Friday
