,date,close_2Y,open_2Y,change_2Y,time,infringementdummy,ruleoflawdummy,budgetdummy,financialmarketsdummy,rate_mom,_merge,day_of_week
0,01/07/2014,3.0569999,3.046,-0.0036112666,1,0,0,,0,0.0,Master only (1),Tuesday
1,01/08/2014,2.9860001,3.0450001,0.01937603,2,0,0,,0,0.0,Master only (1),Wednesday
2,01/09/2014,2.9649999,2.977,0.0040309317,3,0,0,,0,0.0,Master only (1),Thursday
3,01/10/2014,2.9489999,2.927,-0.0075161722,4,0,0,,0,0.0,Master only (1),Friday
4,01/11/2014,2.9489999,2.9489999,0.0,5,0,0,,0,0.0,Master only (1),Saturday
5,01/13/2014,2.9579999,2.931,-0.0092118559,6,0,0,,0,0.0,Master only (1),Monday
6,01/14/2014,2.957,2.941,-0.0054403376,7,0,0,,0,0.0,Master only (1),Tuesday
7,01/15/2014,2.9549999,2.928,-0.0092212949,8,0,0,,0,0.0,Master only (1),Wednesday
8,01/16/2014,2.9460001,2.941,-0.0017001409,9,0,0,,0,0.0,Master only (1),Thursday
9,01/17/2014,2.9449999,2.928,-0.0058059972,10,0,0,,0,0.0,Master only (1),Friday
10,01/19/2014,2.9449999,2.9449999,0.0,11,0,0,,0,0.0,Master only (1),Sunday
11,01/20/2014,2.9449999,2.954,0.0030467375,12,0,0,,0,0.0,Master only (1),Monday
12,01/21/2014,2.964,2.937,-0.0091930367,13,0,0,,0,0.0,Master only (1),Tuesday
13,01/22/2014,2.9619999,2.9790001,0.0057066795,14,0,0,,0,0.0,Master only (1),Wednesday
14,01/23/2014,2.9649999,2.964,-0.00033735746,15,1,1,,0,0.0,Master only (1),Thursday
15,01/24/2014,2.9949999,2.9790001,-0.0053708605,16,0,0,,0,0.0,Master only (1),Friday
16,01/25/2014,2.9949999,2.9949999,0.0,17,0,0,,0,0.0,Master only (1),Saturday
17,01/26/2014,2.99,3.017,0.0089492714,18,0,0,,0,0.0,Master only (1),Sunday
18,01/27/2014,3.05,3.033,-0.0056049982,19,1,1,,1,0.0,Master only (1),Monday
19,01/28/2014,3.0799999,3.0369999,-0.014158704,20,0,0,,0,0.0,Master only (1),Tuesday
20,01/29/2014,3.151,3.052,-0.032437738,21,0,0,,0,0.0,Master only (1),Wednesday
21,01/30/2014,3.1789999,3.148,-0.0098474901,22,0,0,,0,0.0,Master only (1),Thursday
22,01/31/2014,3.2490001,3.1800001,-0.021698115,23,0,0,,0,0.0,Master only (1),Friday
23,02/01/2014,3.2360001,3.2360001,0.0,24,0,0,,0,0.0,Master only (1),Saturday
24,02/02/2014,3.2309999,3.247,0.0049276357,25,0,0,,0,0.0,Master only (1),Sunday
25,02/03/2014,3.1789999,3.2460001,0.020640835,26,0,0,,0,0.0,Master only (1),Monday
26,02/04/2014,3.1059999,3.1670001,0.019261165,27,0,0,,0,0.0,Master only (1),Tuesday
27,02/05/2014,3.1270001,3.1099999,-0.0054663019,28,1,1,,0,0.0,Master only (1),Wednesday
28,02/06/2014,3.1010001,3.1459999,0.014303827,29,0,0,,0,0.0,Master only (1),Thursday
29,02/07/2014,3.1110001,3.0829999,-0.0090821013,30,0,0,,0,0.0,Master only (1),Friday
30,02/08/2014,3.0940001,3.0940001,0.0,31,0,0,,0,0.0,Master only (1),Saturday
31,02/09/2014,3.0940001,3.0940001,0.0,32,0,0,,0,0.0,Master only (1),Sunday
32,02/10/2014,3.1040001,3.1040001,0.0,33,0,0,,0,0.0,Master only (1),Monday
33,02/11/2014,3.131,3.069,-0.020202031,34,0,0,,0,0.0,Master only (1),Tuesday
34,02/12/2014,3.119,3.108,-0.0035392272,35,0,0,,0,0.0,Master only (1),Wednesday
35,02/13/2014,3.1289999,3.1099999,-0.006109342,36,0,0,,0,0.0,Master only (1),Thursday
36,02/14/2014,3.052,3.108,0.018018017,37,0,0,,0,0.0,Master only (1),Friday
37,02/15/2014,3.108,3.052,-0.018348621,38,0,0,,0,0.0,Master only (1),Saturday
38,02/16/2014,3.108,3.108,0.0,39,0,0,,0,0.0,Master only (1),Sunday
39,02/17/2014,3.0510001,3.0510001,0.0,40,0,0,,0,0.0,Master only (1),Monday
40,02/18/2014,3.049,3.0439999,-0.0016426132,41,0,0,,0,0.0,Master only (1),Tuesday
41,02/19/2014,3.0869999,3.0650001,-0.0071777604,42,0,0,,0,0.0,Master only (1),Wednesday
42,02/20/2014,3.086,3.1070001,0.0067589786,43,1,0,,0,0.0,Master only (1),Thursday
43,02/21/2014,3.0469999,3.0769999,0.0097497469,44,0,0,,0,0.0,Master only (1),Friday
44,02/22/2014,3.049,3.049,0.0,45,0,0,,0,0.0,Master only (1),Saturday
45,02/23/2014,3.049,3.049,0.0,46,0,0,,0,0.0,Master only (1),Sunday
46,02/24/2014,3.059,3.0420001,-0.0055884155,47,0,0,,0,0.0,Master only (1),Monday
47,02/25/2014,3.046,3.0350001,-0.0036243552,48,0,0,,0,0.0,Master only (1),Tuesday
48,02/26/2014,3.0450001,3.0339999,-0.0036256285,49,0,0,,0,0.0,Master only (1),Wednesday
49,02/27/2014,3.046,3.03,-0.0052805389,50,0,0,,0,0.0,Master only (1),Thursday
