,dates,opening_values,closing_values
1,2016-01-04,1674.95,1670.56
2,2016-01-05,1668.6,1673.67
4,2016-01-07,1677.5,1674.58
5,2016-01-08,1673.34,1679.05
6,2016-01-11,1677.45,1679.05
7,2016-01-12,1677.61,1683.79
8,2016-01-13,1686.01,1686.78
9,2016-01-14,1685.8,1681.14
11,2016-01-18,1666.07,1666.07
12,2016-01-19,1667.61,1670.15
13,2016-01-20,1672.72,1667.93
14,2016-01-21,1665.9,1669.43
15,2016-01-22,1671.03,1670.13
16,2016-01-25,1671.82,1668.28
17,2016-01-26,1665.82,1671.35
18,2016-01-27,1671.53,1673.34
19,2016-01-28,1675.03,1675.29
20,2016-01-29,1678.69,1677.37
21,2016-02-01,1678.47,1677.19
22,2016-02-02,1677.97,1679.04
23,2016-02-03,1677.79,1679.62
24,2016-02-04,1678.75,1680.96
25,2016-02-05,1682.24,1681.26
26,2016-02-08,1682.08,1679.68
27,2016-02-09,1678.07,1679.2
28,2016-02-10,1680.38,1681.07
29,2016-02-11,1679.82,1682.07
30,2016-02-12,1684.17,1685.35
31,2016-02-15,1685.08,1686.12
32,2016-02-16,1685.67,1685.84
33,2016-02-17,1687.31,1686.92
34,2016-02-18,1687.74,1690.28
35,2016-02-19,1691.2,1689.74
36,2016-02-22,1688.68,1689.83
37,2016-02-23,1690.22,1690.0
38,2016-02-24,1692.28,1693.66
39,2016-02-25,1691.74,1693.43
40,2016-02-26,1692.9,1690.44
41,2016-02-29,1690.76,1691.2
42,2016-03-01,1690.94,1691.06
43,2016-03-02,1689.83,1689.31
44,2016-03-03,1688.8,1688.82
45,2016-03-04,1688.69,1690.51
46,2016-03-07,1692.67,1692.17
47,2016-03-08,1693.92,1694.4
48,2016-03-09,1693.15,1694.43
49,2016-03-10,1694.74,1695.49
50,2016-03-11,1694.91,1696.66
51,2016-03-14,1695.83,1696.5
52,2016-03-15,1696.61,1695.04
53,2016-03-16,1695.62,1693.9
54,2016-03-17,1697.83,1697.2
55,2016-03-18,1698.78,1699.07
56,2016-03-21,1699.1,1697.27
57,2016-03-22,1698.23,1696.04
58,2016-03-23,1695.7,1695.36
59,2016-03-24,1697.0,1695.58
62,2016-03-29,1696.59,1697.48
63,2016-03-30,1699.14,1697.49
64,2016-03-31,1698.12,1698.4
65,2016-04-01,1698.87,1700.18
66,2016-04-04,1701.39,1698.45
67,2016-04-05,1698.45,1696.73
68,2016-04-06,1696.24,1695.92
69,2016-04-07,1695.03,1692.9
70,2016-04-08,1692.62,1694.17
71,2016-04-11,1694.16,1694.94
72,2016-04-12,1694.1,1693.76
73,2016-04-13,1692.69,1693.77
74,2016-04-14,1694.39,1692.21
75,2016-04-15,1693.2,1692.61
76,2016-04-18,1692.52,1692.15
77,2016-04-19,1692.92,1693.82
78,2016-04-20,1695.67,1695.92
79,2016-04-21,1694.9,1693.43
80,2016-04-22,1692.76,1690.41
81,2016-04-25,1690.9,1688.43
82,2016-04-26,1688.61,1689.5
83,2016-04-27,1690.09,1690.82
84,2016-04-28,1694.02,1691.24
85,2016-04-29,1691.87,1690.73
86,2016-05-02,1691.15,1689.89
88,2016-05-04,1690.25,1688.8
89,2016-05-05,1688.18,1689.52
90,2016-05-06,1690.14,1691.53
91,2016-05-09,1691.81,1692.55
92,2016-05-10,1693.01,1693.45
93,2016-05-11,1693.56,1694.28
94,2016-05-12,1696.0,1694.58
95,2016-05-13,1695.12,1696.8
96,2016-05-16,1699.69,1699.69
97,2016-05-17,1700.34,1698.89
98,2016-05-18,1697.24,1693.83
99,2016-05-19,1692.52,1693.78
100,2016-05-20,1693.61,1690.72
101,2016-05-23,1690.17,1686.97
102,2016-05-24,1687.86,1687.97
103,2016-05-25,1687.23,1689.97
105,2016-05-27,1691.47,1691.84
106,2016-05-30,1690.94,1689.19
107,2016-05-31,1688.73,1688.95
108,2016-06-01,1688.57,1687.26
109,2016-06-02,1686.88,1686.1
110,2016-06-03,1685.71,1687.4
111,2016-06-06,1686.51,1684.36
112,2016-06-07,1683.92,1685.94
113,2016-06-08,1687.71,1689.97
114,2016-06-09,1690.61,1690.92
115,2016-06-10,1689.37,1688.94
116,2016-06-13,1688.11,1684.38
117,2016-06-14,1682.64,1676.62
118,2016-06-15,1676.82,1678.82
119,2016-06-16,1677.76,1680.32
120,2016-06-17,1681.29,1683.9
121,2016-06-20,1691.14,1691.14
122,2016-06-21,1689.73,1688.96
123,2016-06-22,1688.93,1692.02
124,2016-06-23,1691.87,1694.31
125,2016-06-24,1685.97,1685.97
126,2016-06-27,1686.73,1693.68
127,2016-06-28,1696.68,1696.2
128,2016-06-29,1699.02,1702.22
129,2016-06-30,1699.0,1702.65
130,2016-07-01,1707.93,1704.32
131,2016-07-04,1704.09,1703.27
132,2016-07-05,1702.76,1706.42
133,2016-07-06,1705.32,1704.25
134,2016-07-07,1702.26,1700.48
135,2016-07-08,1701.91,1703.74
136,2016-07-11,1704.22,1705.8
137,2016-07-12,1704.46,1705.47
138,2016-07-13,1704.98,1704.56
139,2016-07-14,1703.95,1702.4
140,2016-07-15,1701.58,1701.98
141,2016-07-18,1701.94,1703.89
142,2016-07-19,1704.55,1703.67
143,2016-07-20,1702.68,1702.31
144,2016-07-21,1701.86,1702.66
145,2016-07-22,1704.14,1703.55
146,2016-07-25,1703.43,1703.68
147,2016-07-26,1704.1,1701.95
148,2016-07-27,1702.12,1702.92
149,2016-07-28,1702.24,1702.29
150,2016-07-29,1700.62,1704.3
151,2016-08-01,1706.04,1707.7
152,2016-08-02,1707.03,1707.65
153,2016-08-03,1707.38,1710.37
154,2016-08-04,1710.77,1711.73
155,2016-08-05,1711.66,1708.98
156,2016-08-08,1708.85,1708.79
157,2016-08-09,1709.49,1711.77
158,2016-08-10,1713.99,1714.58
159,2016-08-11,1714.88,1714.96
160,2016-08-12,1714.08,1720.06
162,2016-08-16,1719.8,1716.38
163,2016-08-17,1716.82,1715.7
164,2016-08-18,1716.75,1717.51
165,2016-08-19,1717.76,1718.47
166,2016-08-22,1719.56,1718.68
167,2016-08-23,1718.99,1718.87
168,2016-08-24,1718.45,1718.59
169,2016-08-25,1718.79,1718.19
170,2016-08-26,1717.35,1719.49
171,2016-08-29,1715.65,1717.78
172,2016-08-30,1717.7,1715.56
173,2016-08-31,1714.94,1714.32
174,2016-09-01,1713.4,1712.02
175,2016-09-02,1710.93,1709.14
176,2016-09-05,1705.91,1708.41
177,2016-09-06,1708.14,1713.34
178,2016-09-07,1715.14,1714.02
179,2016-09-08,1714.81,1710.34
180,2016-09-09,1709.99,1706.78
181,2016-09-12,1706.29,1708.12
182,2016-09-13,1708.58,1706.99
183,2016-09-14,1705.08,1708.43
184,2016-09-15,1707.55,1706.04
185,2016-09-16,1708.28,1706.33
186,2016-09-19,1706.22,1707.51
187,2016-09-20,1708.17,1709.41
188,2016-09-21,1708.65,1709.73
189,2016-09-22,1712.92,1714.4
190,2016-09-23,1713.7,1712.87
191,2016-09-26,1712.87,1712.53
192,2016-09-27,1712.89,1711.62
193,2016-09-28,1711.43,1709.99
194,2016-09-29,1709.61,1707.68
195,2016-09-30,1705.4,1707.51
196,2016-10-03,1708.78,1709.33
197,2016-10-04,1709.38,1709.68
198,2016-10-05,1706.93,1704.96
199,2016-10-06,1703.51,1702.87
200,2016-10-07,1700.38,1701.38
201,2016-10-10,1700.35,1699.17
202,2016-10-11,1700.21,1699.16
203,2016-10-12,1699.75,1699.81
204,2016-10-13,1702.09,1702.47
205,2016-10-14,1701.7,1701.96
206,2016-10-17,1699.78,1700.17
207,2016-10-18,1700.34,1702.32
208,2016-10-19,1703.18,1704.93
209,2016-10-20,1705.57,1706.3
210,2016-10-21,1706.21,1706.17
211,2016-10-24,1707.87,1705.23
212,2016-10-25,1705.98,1704.37
213,2016-10-26,1704.99,1700.81
214,2016-10-27,1700.63,1695.8
215,2016-10-28,1694.61,1698.07
216,2016-10-31,1698.57,1699.87
218,2016-11-02,1700.03,1699.71
219,2016-11-03,1698.62,1699.73
220,2016-11-04,1701.48,1701.84
221,2016-11-07,1700.75,1701.24
222,2016-11-08,1700.31,1699.6
223,2016-11-09,1698.75,1696.09
224,2016-11-10,1692.48,1686.49
226,2016-11-14,1680.16,1678.46
227,2016-11-15,1683.12,1681.67
228,2016-11-16,1678.86,1676.68
229,2016-11-17,1679.99,1675.57
