,date,PL2Y_close,PL2Y_change
2850,2014-01-02,3.07,
2849,2014-01-03,3.058,-0.003924133420536302
2848,2014-01-04,3.058,0.0
2847,2014-01-05,3.058,0.0
2846,2014-01-06,3.048,-0.0032808398950130535
2845,2014-01-07,3.057,0.002944062806673175
2844,2014-01-08,2.986,-0.02377762893503005
2843,2014-01-09,2.965,-0.0070826306913997815
2842,2014-01-10,2.949,-0.005425567989148869
2841,2014-01-11,2.949,0.0
2840,2014-01-13,2.958,0.0030425963488844967
2839,2014-01-14,2.957,-0.00033818058843433684
2838,2014-01-15,2.955,-0.0006768189509305515
2837,2014-01-16,2.946,-0.003054989816700576
2836,2014-01-17,2.945,-0.00033955857385410324
2835,2014-01-19,2.945,0.0
2834,2014-01-20,2.945,0.0
2833,2014-01-21,2.964,0.006410256410256453
2832,2014-01-22,2.962,-0.0006752194463199796
2831,2014-01-23,2.965,0.0010118043844855548
2830,2014-01-24,2.995,0.010016694490818113
2829,2014-01-25,2.995,0.0
2828,2014-01-26,2.99,-0.0016722408026755495
2827,2014-01-27,3.05,0.019672131147540857
2826,2014-01-28,3.08,0.009740259740259822
2825,2014-01-29,3.151,0.022532529355759993
2824,2014-01-30,3.179,0.008807801195344456
2823,2014-01-31,3.249,0.021545090797168445
2822,2014-02-01,3.236,-0.004017305315203924
2821,2014-02-02,3.231,-0.0015475085112969167
2820,2014-02-03,3.179,-0.016357345077068274
2819,2014-02-04,3.106,-0.023502897617514475
2818,2014-02-05,3.127,0.00671570195075149
2817,2014-02-06,3.101,-0.008384392131570398
2816,2014-02-07,3.111,0.003214400514304156
2815,2014-02-08,3.094,-0.005494505494505608
2814,2014-02-09,3.094,0.0
2813,2014-02-10,3.104,0.003221649484536157
2812,2014-02-11,3.131,0.008623442989460139
2811,2014-02-12,3.119,-0.003847386983007235
2810,2014-02-13,3.129,0.0031959092361776246
2809,2014-02-14,3.052,-0.02522935779816512
2808,2014-02-15,3.108,0.018018018018018032
2807,2014-02-16,3.108,0.0
2806,2014-02-17,3.051,-0.018682399213372645
2805,2014-02-18,3.049,-0.0006559527714005325
2804,2014-02-19,3.087,0.012309685779073617
2803,2014-02-20,3.086,-0.0003240440699936273
2802,2014-02-21,3.047,-0.01279947489333761
2801,2014-02-22,3.049,0.0006559527714003869
2800,2014-02-23,3.049,0.0
2799,2014-02-24,3.059,0.0032690421706440768
2798,2014-02-25,3.046,-0.004267892317793941
2797,2014-02-26,3.045,-0.00032840722495891295
2796,2014-02-27,3.046,0.00032829940906102756
2795,2014-02-28,3.046,0.0
2794,2014-03-01,3.04,-0.0019736842105262443
2793,2014-03-02,3.04,0.0
2792,2014-03-03,3.085,0.01458670988654779
2791,2014-03-04,3.026,-0.019497686715135548
2790,2014-03-05,2.984,-0.014075067024128625
2789,2014-03-06,2.997,0.004337671004337638
2788,2014-03-07,3.036,0.012845849802371589
2787,2014-03-08,3.036,0.0
2786,2014-03-09,3.036,0.0
2785,2014-03-10,2.989,-0.015724322515891655
2784,2014-03-11,2.997,0.0026693360026693383
2783,2014-03-12,2.968,-0.00977088948787059
2782,2014-03-13,3.027,0.01949124545754878
2781,2014-03-14,3.006,-0.006986027944111894
2780,2014-03-15,3.016,0.003315649867374082
2779,2014-03-16,3.016,0.0
2778,2014-03-17,2.994,-0.007348029392117501
2777,2014-03-18,2.967,-0.009100101112234625
2776,2014-03-19,2.974,0.0023537323470074365
2775,2014-03-20,3.025,0.01685950413223131
2774,2014-03-21,3.009,-0.005317381189764046
2773,2014-03-22,3.028,0.006274768824306515
2772,2014-03-23,3.077,0.015924601884952854
2771,2014-03-24,3.006,-0.023619427811044636
2770,2014-03-25,3.023,0.005623552762156913
2769,2014-03-26,3.011,-0.0039853869146463
2768,2014-03-27,3.009,-0.0006646726487205796
2767,2014-03-28,3.007,-0.000665114732291247
2766,2014-03-29,3.007,0.0
2765,2014-03-30,3.007,0.0
2764,2014-03-31,3.009,0.000664672648720432
2763,2014-04-01,3.021,0.003972194637537243
2762,2014-04-02,3.004,-0.00565912117177094
2761,2014-04-03,2.992,-0.004010695187165779
2760,2014-04-04,2.955,-0.012521150592216555
2759,2014-04-05,2.98,0.008389261744966413
2758,2014-04-06,2.985,0.0016750418760468656
2757,2014-04-07,2.932,-0.018076398362892203
2756,2014-04-08,2.946,0.004752206381534363
2755,2014-04-09,2.967,0.0070778564206268645
2754,2014-04-10,2.94,-0.009183673469387801
2753,2014-04-11,2.937,-0.0010214504596527457
2752,2014-04-12,2.957,0.006763611768684484
2751,2014-04-13,2.96,0.001013513513513552
2750,2014-04-14,2.94,-0.00680272108843538
2749,2014-04-15,2.973,0.011099899091826411
2748,2014-04-16,2.98,0.0023489932885906433
2747,2014-04-17,3.005,0.00831946755407651
2746,2014-04-18,2.993,-0.004009355162044775
2745,2014-04-19,3.008,0.0049867021276596155
2744,2014-04-20,2.993,-0.005011693952556006
2743,2014-04-21,3.004,0.0036617842876165516
2742,2014-04-22,2.913,-0.03123927222794377
2741,2014-04-23,2.986,0.02444742129939732
2740,2014-04-24,2.903,-0.02859111264209445
2739,2014-04-25,2.9,-0.001034482758620729
2738,2014-04-26,3.013,0.03750414868901427
2737,2014-04-27,3.013,0.0
2736,2014-04-28,2.898,-0.039682539682539604
2735,2014-04-29,2.928,0.010245901639344196
2734,2014-04-30,2.899,-0.010003449465332845
2733,2014-05-01,2.914,0.005147563486616377
2732,2014-05-02,2.901,-0.004481213374698499
2731,2014-05-03,2.968,0.022574123989218386
2730,2014-05-04,2.968,0.0
2729,2014-05-05,2.904,-0.02203856749311297
2728,2014-05-06,2.901,-0.0010341261633919731
2727,2014-05-07,2.869,-0.011153712094806407
2726,2014-05-08,2.863,-0.002095703807195329
2725,2014-05-09,2.875,0.004173913043478265
2724,2014-05-10,2.881,0.0020826102047899284
2723,2014-05-11,2.886,0.0017325017325018493
2722,2014-05-12,2.857,-0.010150507525376239
2721,2014-05-13,2.854,-0.0010511562718991288
2720,2014-05-14,2.815,-0.013854351687389039
2719,2014-05-15,2.775,-0.014414414414414429
2718,2014-05-16,2.866,0.03175157013258904
2717,2014-05-17,2.782,-0.030194104960460127
2716,2014-05-18,2.788,0.0021520803443327774
2715,2014-05-19,2.863,0.026196297589940683
2714,2014-05-20,2.86,-0.0010489510489510888
2713,2014-05-21,2.778,-0.029517638588912834
2712,2014-05-22,2.763,-0.005428881650380067
2711,2014-05-23,2.761,-0.0007243752263671784
2710,2014-05-24,2.75,-0.004000000000000044
2709,2014-05-25,2.755,0.001814882032667838
2708,2014-05-26,2.747,-0.0029122679286494387
2707,2014-05-27,2.737,-0.0036536353671902766
2706,2014-05-28,2.714,-0.00847457627118649
2705,2014-05-29,2.699,-0.005557613931085633
2704,2014-05-30,2.733,0.012440541529454903
2703,2014-05-31,2.744,0.0040087463556851746
2702,2014-06-01,2.744,0.0
2701,2014-06-02,2.712,-0.011799410029498535
