,Date,Infringement Dummy,Rule of Law Dummy,Budget Dummy,Financial Markets Dummy
0,2014-01-23,1,1.0,,
1,2014-01-27,1,1.0,,1.0
2,2014-02-05,1,1.0,,
3,2014-02-20,1,,,
4,2014-03-28,1,,,
5,2014-03-31,1,,,
6,2014-04-16,1,,,1.0
7,2014-07-10,1,,,
8,2014-07-22,1,,,
9,2014-09-25,1,,,1.0
10,2014-11-25,1,,,
11,2014-11-26,1,,,
12,2015-01-29,1,,,1.0
13,2015-04-29,1,,,
14,2015-05-28,1,,,1.0
15,2015-06-18,1,,,
16,2015-07-16,1,,,
17,2015-07-22,1,,,
18,2015-09-23,1,1.0,,1.0
19,2015-10-22,1,,,
20,2015-11-20,1,,,
21,2016-01-27,1,,,1.0
22,2016-02-25,1,,,
23,2016-03-23,1,,,
24,2016-04-28,1,,,
25,2016-05-26,1,,,1.0
26,2016-06-16,1,,,
27,2016-07-22,1,,,
28,2016-07-27,1,,,1.0
29,2016-09-22,1,1.0,,1.0
30,2016-09-29,1,,,
31,2016-11-24,1,,,1.0
32,2016-12-08,1,,,
33,2017-01-24,1,,,
34,2017-02-15,1,,,
35,2017-05-17,1,,,
36,2017-05-31,1,,,
37,2017-06-14,1,,,
38,2017-07-19,1,1.0,,1.0
39,2017-07-28,1,1.0,,
40,2017-09-26,1,,,1.0
41,2017-10-04,1,,,
42,2017-11-23,1,,,
43,2018-01-24,1,,,
44,2018-01-25,1,,,
45,2018-03-08,1,,,
46,2018-03-22,1,,,1.0
47,2018-05-17,1,1.0,,
48,2018-06-07,1,,,
49,2018-07-02,1,1.0,,
50,2018-07-19,1,,,
51,2018-07-20,1,1.0,,
52,2018-09-24,1,,,
53,2018-11-22,1,,,
54,2019-01-24,1,,,
55,2019-01-30,1,,,1.0
56,2019-03-07,1,,,1.0
57,2019-03-20,1,,,1.0
58,2019-04-03,1,1.0,,
59,2019-06-06,1,,,
60,2019-07-23,1,1.0,,
61,2019-07-25,1,1.0,,1.0
62,2019-09-19,1,,,
63,2019-10-10,1,,,
64,2019-11-22,1,,,
65,2020-01-24,1,,,
66,2020-02-12,1,,,
67,2020-04-29,1,1.0,,
68,2020-05-14,1,,1.0,1.0
69,2020-05-28,1,,,
70,2020-07-02,1,1.0,,
71,2020-07-20,1,,,
72,2020-10-08,1,,,
73,2020-10-30,1,,,
74,2020-11-23,1,,,
75,2020-12-03,1,1.0,,
76,2020-12-17,1,,,
77,2021-02-03,1,,,1.0
78,2021-02-18,1,1.0,,
79,2021-03-18,1,,,
80,2021-06-09,1,,,
81,2021-07-15,1,1.0,,
82,2021-07-23,1,,,1.0
83,2021-09-23,1,,,
84,2021-09-30,1,1.0,,1.0
85,2021-11-25,1,,,
86,2021-12-02,1,,,
87,2021-12-22,1,1.0,,
88,2022-01-27,1,1.0,,1.0
89,2022-03-24,1,,,
90,2022-05-19,1,,,
91,2022-07-19,1,,,1.0
92,2022-09-20,1,1.0,,
93,2022-09-29,1,,,
94,2022-11-28,1,,,
95,2023-01-26,1,1.0,,
96,2023-02-15,1,,,
97,2023-03-22,1,1.0,,
98,2023-06-01,1,1.0,,
