"Date","Price","Open","High","Low","Change %"
"08/01/2023","5.353","5.242","5.354","5.233","0.33%"
"07/31/2023","5.336","5.337","5.458","5.238","-3.18%"
"07/28/2023","5.511","5.557","5.682","5.459","0.97%"
"07/27/2023","5.458","5.565","5.611","5.436","0.02%"
"07/26/2023","5.457","5.472","5.573","5.433","0.44%"
"07/25/2023","5.433","5.514","5.553","5.375","1.21%"
"07/24/2023","5.368","5.517","5.528","5.351","-0.74%"
"07/21/2023","5.408","5.553","5.559","5.399","0.20%"
"07/20/2023","5.397","5.378","5.489","5.350","0.80%"
"07/19/2023","5.354","5.263","5.468","5.206","2.53%"
"07/18/2023","5.222","5.240","5.271","5.175","-0.91%"
"07/17/2023","5.270","5.306","5.362","5.210","2.44%"
"07/15/2023","5.144","5.144","5.144","5.144","-3.10%"
"07/14/2023","5.309","5.279","5.442","5.085","0.08%"
"07/13/2023","5.305","5.500","5.500","5.234","-2.37%"
"07/12/2023","5.434","5.573","5.573","5.403","-2.74%"
"07/11/2023","5.587","5.775","5.775","5.527","-0.68%"
"07/10/2023","5.625","5.751","5.777","5.623","-2.78%"
"07/07/2023","5.786","5.892","6.041","5.738","-2.31%"
"07/06/2023","5.923","5.777","6.009","5.777","2.12%"
"07/05/2023","5.800","5.809","5.903","5.762","0.22%"
"07/04/2023","5.787","5.785","5.850","5.757","0.10%"
"07/03/2023","5.781","5.813","5.852","5.778","-1.16%"
"06/30/2023","5.849","5.885","5.987","5.788","-0.41%"
"06/29/2023","5.873","5.883","6.071","5.856","0.02%"
"06/28/2023","5.872","5.846","5.989","5.811","0.96%"
"06/27/2023","5.816","5.881","5.996","5.757","-0.38%"
"06/26/2023","5.838","5.937","5.970","5.803","-0.80%"
"06/23/2023","5.885","5.953","6.048","5.878","-1.09%"
"06/22/2023","5.950","5.965","6.061","5.898","0.13%"
"06/21/2023","5.942","5.974","6.034","5.911","0.20%"
"06/20/2023","5.930","6.008","6.068","5.924","-0.75%"
"06/19/2023","5.975","5.983","6.003","5.937","0.27%"
"06/16/2023","5.959","5.953","6.137","5.953","0.15%"
"06/15/2023","5.950","6.090","6.155","5.947","-0.05%"
"06/14/2023","5.953","5.923","6.133","5.922","0.40%"
"06/13/2023","5.929","5.967","6.026","5.887","0.14%"
"06/12/2023","5.921","5.974","6.098","5.901","-0.02%"
"06/09/2023","5.922","5.992","6.108","5.917","0.17%"
"06/08/2023","5.912","5.975","5.975","5.912","-0.35%"
"06/07/2023","5.933","5.938","6.082","5.892","0.05%"
"06/06/2023","5.930","5.940","6.056","5.876","-0.03%"
"06/05/2023","5.932","6.141","6.141","5.925","-0.49%"
"06/02/2023","5.961","6.064","6.114","5.912","0.05%"
"06/01/2023","5.958","6.064","6.088","5.912","0.12%"
"05/31/2023","5.951","6.049","6.095","5.880","0.02%"
"05/30/2023","5.950","6.106","6.118","5.919","-0.70%"
"05/29/2023","5.992","6.170","6.228","5.987","-1.01%"
"05/26/2023","6.053","6.182","6.263","6.042","-0.18%"
"05/25/2023","6.064","6.033","6.225","6.017","0.90%"
"05/24/2023","6.010","6.119","6.164","5.988","0.08%"
"05/23/2023","6.005","6.117","6.199","5.997","0.05%"
"05/22/2023","6.002","5.981","6.113","5.951","0.55%"
"05/19/2023","5.969","6.079","6.129","5.945","0.00%"
"05/18/2023","5.969","6.005","6.090","5.891","1.08%"
"05/17/2023","5.905","6.025","6.122","5.875","-0.29%"
"05/16/2023","5.922","5.977","6.026","5.824","0.68%"
"05/15/2023","5.882","5.750","6.016","5.750","2.10%"
"05/13/2023","5.761","5.761","5.761","5.761","0.30%"
"05/12/2023","5.744","5.848","5.900","5.733","0.07%"
"05/11/2023","5.740","5.890","5.892","5.689","-0.57%"
"05/10/2023","5.773","5.894","5.954","5.757","-0.52%"
"05/09/2023","5.803","5.751","5.965","5.706","-0.79%"
"05/08/2023","5.849","5.907","5.969","5.742","1.49%"
"05/05/2023","5.763","5.760","5.962","5.748","0.03%"
"05/04/2023","5.761","5.928","6.032","5.757","-0.86%"
"05/03/2023","5.811","5.837","5.879","5.769","0.09%"
"05/02/2023","5.806","6.122","6.128","5.803","-1.44%"
"05/01/2023","5.891","5.891","5.891","5.891","0.55%"
"04/28/2023","5.859","6.161","6.161","5.817","-2.66%"
"04/27/2023","6.019","5.981","6.177","5.898","1.01%"
"04/26/2023","5.959","5.992","6.196","5.936","-0.42%"
"04/25/2023","5.984","6.174","6.177","5.960","-1.29%"
"04/24/2023","6.062","6.206","6.206","6.057","-2.30%"
"04/21/2023","6.205","6.156","6.209","6.069","1.89%"
"04/20/2023","6.090","6.172","6.319","6.085","-1.33%"
"04/19/2023","6.172","6.320","6.361","6.141","0.57%"
"04/18/2023","6.137","6.261","6.306","6.134","-0.24%"
"04/17/2023","6.152","6.248","6.287","6.133","0.39%"
"04/14/2023","6.128","6.170","6.338","6.099","-0.63%"
"04/13/2023","6.167","6.336","6.336","6.145","0.18%"
"04/12/2023","6.156","6.258","6.331","6.120","-1.55%"
"04/11/2023","6.253","6.161","6.253","6.059","2.83%"
"04/10/2023","6.081","6.081","6.081","6.081","1.24%"
"04/07/2023","6.006","6.073","6.073","6.006","-0.75%"
"04/06/2023","6.052","6.065","6.201","6.002","0.15%"
"04/05/2023","6.043","6.041","6.219","6.035","-1.77%"
"04/04/2023","6.152","6.053","6.310","6.037","1.75%"
"04/03/2023","6.046","6.174","6.262","6.040","-0.08%"
"03/31/2023","6.051","6.155","6.283","6.025","-1.63%"
"03/30/2023","6.151","6.158","6.158","6.032","1.18%"
"03/29/2023","6.079","6.236","6.236","6.025","0.63%"
"03/28/2023","6.041","6.166","6.166","6.020","0.48%"
"03/27/2023","6.012","6.099","6.210","5.993","0.23%"
