date,close_HU,open_HU,close_SK,open_SK,close_CZ,open_CZ,_merge
01/02/2014,4.1199999,4.1199999,.90700001,.90700001,.191,.191,Matched (3)
01/02/2017,.91000003,.91000003,-.204,-.19,-.88099998,-1.073,Matched (3)
01/02/2018,.58999997,.58999997,-.26499999,-.26100001,.56800002,.53100002,Matched (3)
01/02/2019,1.27,1.27,-.40700001,-.25,1.527,1.529,Matched (3)
01/02/2023,11.02,11.02,3.28,3.313,5.6939998,5.5799999,Matched (3)
01/03/2014,4.1100001,4.1100001,.90499997,.90499997,.192,.192,Matched (3)
01/03/2017,.92000002,.92000002,-.208,-.199,-.861,-.96899998,Matched (3)
01/03/2018,.60000002,.60000002,-.26499999,-.266,.58899999,.51800001,Matched (3)
01/03/2019,1.28,1.28,-.39700001,-.419,1.6,1.5650001,Matched (3)
01/03/2022,4.2399998,4.2399998,-.82499999,-.83999997,3.7620001,3.7490001,Matched (3)
01/03/2023,11.01,11.01,3.2379999,3.1559999,5.6020002,5.5799999,Matched (3)
01/04/2016,2.2,2.2,.083999999,.083999999,-.163,-.20999999,Matched (3)
01/04/2017,.93000001,.93000001,-.245,-.17,-.95499998,-.84200001,Matched (3)
01/04/2018,.56999999,.56999999,-.26199999,-.25999999,.60699999,.62400001,Matched (3)
01/04/2019,1.29,1.29,-.442,-.49700001,1.6619999,1.512,Matched (3)
01/04/2021,.99000001,.99000001,-.58600003,-.56900001,.185,.219,Matched (3)
01/04/2022,4.5300002,4.5300002,-.81099999,-.83999997,3.723,3.767,Matched (3)
01/04/2023,10.65,10.65,3.0409999,3.161,5.579,5.5949998,Matched (3)
01/05/2015,2.8199999,2.8199999,.13699999,.13699999,.185,.185,Matched (3)
01/05/2016,2.2,2.2,.092,.092,-.132,-.162,Matched (3)
01/05/2017,.92000002,.92000002,-.273,-.273,-.92500001,-1.022,Matched (3)
01/05/2018,.55000001,.55000001,-.26100001,-.26100001,.64999998,.58899999,Matched (3)
01/05/2021,.99000001,.99000001,-.55000001,-.54799998,.25099999,.26199999,Matched (3)
01/05/2022,4.5599999,4.5599999,-.88,-.87199998,3.7279999,3.7709999,Matched (3)
01/05/2023,10.21,10.21,3.3069999,3.0769999,5.579,5.5560002,Matched (3)
01/06/2016,2.2,2.2,.059,.12800001,-.17200001,-.15099999,Matched (3)
