date,price,open
01/02/2014,"2,430.72","2,426.09"
01/02/2015,"2,309.39","2,323.30"
01/02/2017,"1,956.72","1,947.54"
01/02/2019,"2,301.62","2,275.35"
01/02/2020,"2,200.10","2,161.55"
01/02/2023,"1,791.47","1,794.52"
01/03/2014,"2,405.22","2,417.08"
01/03/2017,"1,989.64","1,961.73"
01/03/2018,"2,463.25","2,463.26"
01/03/2019,"2,247.22","2,293.47"
01/03/2020,"2,173.97","2,192.31"
01/03/2022,"2,286.50","2,272.18"
01/03/2023,"1,824.82","1,794.13"
01/04/2016,"1,804.42","1,832.40"
01/04/2017,"1,999.93","1,991.97"
01/04/2018,"2,533.17","2,473.23"
01/04/2019,"2,284.95","2,257.40"
01/04/2021,"2,008.75","1,994.28"
01/04/2022,"2,300.68","2,293.18"
01/04/2023,"1,855.05","1,826.17"
01/05/2015,"2,264.75","2,304.64"
01/05/2016,"1,792.01","1,811.27"
01/05/2017,"1,998.76","1,994.72"
01/05/2018,"2,529.55","2,530.77"
01/05/2021,"2,009.12","2,004.64"
01/05/2022,"2,310.97","2,296.70"
01/05/2023,"1,856.05","1,851.86"
01/07/2014,"2,349.60","2,384.99"
01/07/2015,"2,307.46","2,273.35"
01/07/2016,"1,745.46","1,763.59"
01/07/2019,"2,331.45","2,292.76"
01/07/2020,"2,145.01","2,171.72"
01/07/2021,"2,074.11","2,040.48"
01/07/2022,"2,311.93","2,309.61"
01/08/2014,"2,363.38","2,350.34"
01/08/2015,"2,361.48","2,317.92"
01/08/2016,"1,725.14","1,750.93"
01/08/2018,"2,548.61","2,534.53"
01/08/2019,"2,325.19","2,330.42"
01/08/2020,"2,115.99","2,140.29"
01/08/2021,"2,072.74","2,080.50"
01/09/2014,"2,325.54","2,361.12"
01/09/2015,"2,337.21","2,357.49"
01/09/2017,"2,009.19","1,999.15"
01/09/2018,"2,528.38","2,552.50"
01/09/2019,"2,341.84","2,329.09"
01/09/2020,"2,157.61","2,132.02"
01/09/2023,"1,912.47","1,873.58"
01/10/2014,"2,327.89","2,322.14"
01/10/2017,"2,023.64","2,007.40"
01/10/2018,"2,511.27","2,531.05"
01/10/2019,"2,335.31","2,331.87"
01/10/2020,"2,167.91","2,161.60"
01/10/2022,"2,291.23","2,311.34"
01/10/2023,"1,937.98","1,904.63"
01/11/2016,"1,703.78","1,721.38"
01/11/2017,"2,030.64","2,024.89"
01/11/2018,"2,534.56","2,517.35"
01/11/2019,"2,335.10","2,343.73"
01/11/2021,"2,066.97","2,067.33"
01/11/2022,"2,344.45","2,300.38"
01/11/2023,"1,914.74","1,936.39"
01/12/2015,"2,330.04","2,336.38"
01/12/2016,"1,750.51","1,712.16"
01/12/2017,"2,022.95","2,029.68"
01/12/2018,"2,539.29","2,536.81"
01/12/2021,"2,043.73","2,073.81"
01/12/2022,"2,411.11","2,350.99"
01/12/2023,"1,930.79","1,919.28"
01/13/2014,"2,363.88","2,338.79"
01/13/2015,"2,367.65","2,327.62"
01/13/2016,"1,772.48","1,758.21"
01/13/2017,"2,015.89","2,023.01"
01/13/2020,"2,194.42","2,170.86"
01/13/2021,"2,023.36","2,050.24"
01/13/2022,"2,407.62","2,406.83"
01/13/2023,"1,923.44","1,932.38"
01/14/2014,"2,377.55","2,353.62"
01/14/2015,"2,336.66","2,349.17"
01/14/2016,"1,776.96","1,760.50"
01/14/2019,"2,327.66","2,326.24"
01/14/2020,"2,182.96","2,194.88"
01/14/2021,"2,031.71","2,023.83"
01/14/2022,"2,383.16","2,402.92"
01/15/2014,"2,396.68","2,400.92"
01/15/2015,"2,265.21","2,349.68"
01/15/2016,"1,734.87","1,766.35"
01/15/2018,"2,542.65","2,535.37"
01/15/2019,"2,344.56","2,336.51"
01/15/2020,"2,165.08","2,180.55"
01/15/2021,"1,985.68","2,026.35"
