,date,price,open,day_of_week
0,2014-01-02,2430.72,2426.09,Thursday
1,2015-01-02,2309.39,2323.30,Friday
2,2017-01-02,1956.72,1947.54,Monday
3,2019-01-02,2301.62,2275.35,Wednesday
4,2020-01-02,2200.10,2161.55,Thursday
5,2023-01-02,1791.47,1794.52,Monday
6,2014-01-03,2405.22,2417.08,Friday
7,2017-01-03,1989.64,1961.73,Tuesday
8,2018-01-03,2463.25,2463.26,Wednesday
9,2019-01-03,2247.22,2293.47,Thursday
10,2020-01-03,2173.97,2192.31,Friday
11,2022-01-03,2286.50,2272.18,Monday
12,2023-01-03,1824.82,1794.13,Tuesday
13,2016-01-04,1804.42,1832.40,Monday
14,2017-01-04,1999.93,1991.97,Wednesday
15,2018-01-04,2533.17,2473.23,Thursday
16,2019-01-04,2284.95,2257.40,Friday
17,2021-01-04,2008.75,1994.28,Monday
18,2022-01-04,2300.68,2293.18,Tuesday
19,2023-01-04,1855.05,1826.17,Wednesday
20,2015-01-05,2264.75,2304.64,Monday
21,2016-01-05,1792.01,1811.27,Tuesday
22,2017-01-05,1998.76,1994.72,Thursday
23,2018-01-05,2529.55,2530.77,Friday
24,2021-01-05,2009.12,2004.64,Tuesday
25,2022-01-05,2310.97,2296.70,Wednesday
26,2023-01-05,1856.05,1851.86,Thursday
27,2014-01-07,2349.60,2384.99,Tuesday
28,2015-01-07,2307.46,2273.35,Wednesday
29,2016-01-07,1745.46,1763.59,Thursday
30,2019-01-07,2331.45,2292.76,Monday
31,2020-01-07,2145.01,2171.72,Tuesday
32,2021-01-07,2074.11,2040.48,Thursday
33,2022-01-07,2311.93,2309.61,Friday
34,2014-01-08,2363.38,2350.34,Wednesday
35,2015-01-08,2361.48,2317.92,Thursday
36,2016-01-08,1725.14,1750.93,Friday
37,2018-01-08,2548.61,2534.53,Monday
38,2019-01-08,2325.19,2330.42,Tuesday
39,2020-01-08,2115.99,2140.29,Wednesday
40,2021-01-08,2072.74,2080.50,Friday
41,2014-01-09,2325.54,2361.12,Thursday
42,2015-01-09,2337.21,2357.49,Friday
43,2017-01-09,2009.19,1999.15,Monday
44,2018-01-09,2528.38,2552.50,Tuesday
45,2019-01-09,2341.84,2329.09,Wednesday
46,2020-01-09,2157.61,2132.02,Thursday
47,2023-01-09,1912.47,1873.58,Monday
48,2014-01-10,2327.89,2322.14,Friday
49,2017-01-10,2023.64,2007.40,Tuesday
50,2018-01-10,2511.27,2531.05,Wednesday
51,2019-01-10,2335.31,2331.87,Thursday
52,2020-01-10,2167.91,2161.60,Friday
53,2022-01-10,2291.23,2311.34,Monday
54,2023-01-10,1937.98,1904.63,Tuesday
55,2016-01-11,1703.78,1721.38,Monday
56,2017-01-11,2030.64,2024.89,Wednesday
57,2018-01-11,2534.56,2517.35,Thursday
58,2019-01-11,2335.10,2343.73,Friday
59,2021-01-11,2066.97,2067.33,Monday
60,2022-01-11,2344.45,2300.38,Tuesday
61,2023-01-11,1914.74,1936.39,Wednesday
62,2015-01-12,2330.04,2336.38,Monday
63,2016-01-12,1750.51,1712.16,Tuesday
64,2017-01-12,2022.95,2029.68,Thursday
65,2018-01-12,2539.29,2536.81,Friday
66,2021-01-12,2043.73,2073.81,Tuesday
67,2022-01-12,2411.11,2350.99,Wednesday
68,2023-01-12,1930.79,1919.28,Thursday
69,2014-01-13,2363.88,2338.79,Monday
70,2015-01-13,2367.65,2327.62,Tuesday
71,2016-01-13,1772.48,1758.21,Wednesday
72,2017-01-13,2015.89,2023.01,Friday
73,2020-01-13,2194.42,2170.86,Monday
74,2021-01-13,2023.36,2050.24,Wednesday
75,2022-01-13,2407.62,2406.83,Thursday
76,2023-01-13,1923.44,1932.38,Friday
77,2014-01-14,2377.55,2353.62,Tuesday
78,2015-01-14,2336.66,2349.17,Wednesday
79,2016-01-14,1776.96,1760.50,Thursday
80,2019-01-14,2327.66,2326.24,Monday
81,2020-01-14,2182.96,2194.88,Tuesday
82,2021-01-14,2031.71,2023.83,Thursday
83,2022-01-14,2383.16,2402.92,Friday
84,2014-01-15,2396.68,2400.92,Wednesday
85,2015-01-15,2265.21,2349.68,Thursday
86,2016-01-15,1734.87,1766.35,Friday
87,2018-01-15,2542.65,2535.37,Monday
