date,price,open
06/29/2023,"7,890.16","7,837.28"
06/28/2023,"7,814.06","7,899.25"
06/27/2023,"7,821.39","7,932.55"
06/26/2023,"7,904.46","7,697.47"
06/23/2023,"7,671.75","7,860.24"
06/22/2023,"7,914.36","7,863.20"
06/21/2023,"7,861.61","7,785.46"
06/20/2023,"7,769.66","7,808.04"
06/19/2023,"7,824.29","7,839.55"
06/16/2023,"7,866.54","7,808.52"
06/15/2023,"7,820.66","7,731.01"
06/14/2023,"7,774.36","7,537.43"
06/13/2023,"7,522.07","7,665.98"
06/12/2023,"7,624.11","7,741.76"
06/09/2023,"7,749.36","7,658.52"
06/07/2023,"7,581.11","7,676.14"
06/06/2023,"7,695.41","7,449.56"
06/05/2023,"7,437.55","7,499.76"
06/02/2023,"7,487.62","7,177.55"
06/01/2023,"7,110.71","6,975.88"
05/31/2023,"6,951.80","7,106.29"
05/30/2023,"7,181.76","7,289.84"
05/29/2023,"7,335.93","7,374.96"
05/26/2023,"7,349.04","7,223.53"
05/25/2023,"7,204.33","7,131.93"
05/24/2023,"7,113.01","7,297.37"
05/23/2023,"7,344.05","7,286.06"
05/22/2023,"7,290.18","7,224.03"
05/19/2023,"7,242.75","7,048.56"
05/18/2023,"7,006.29","6,978.18"
05/17/2023,"6,926.97","6,881.70"
05/16/2023,"6,919.56","6,866.38"
05/15/2023,"6,874.63","6,950.28"
05/12/2023,"6,912.44","6,908.16"
05/11/2023,"6,869.97","6,961.30"
05/10/2023,"6,934.47","6,923.41"
05/09/2023,"6,892.37","6,893.94"
05/08/2023,"6,908.05","6,871.13"
05/05/2023,"6,850.25","6,752.81"
05/04/2023,"6,706.27","6,948.84"
05/02/2023,"6,912.70","7,020.43"
04/28/2023,"6,976.87","7,130.03"
04/27/2023,"7,110.37","6,975.26"
04/26/2023,"6,934.82","6,992.54"
04/25/2023,"7,034.57","7,101.28"
04/24/2023,"7,136.23","7,087.01"
04/21/2023,"7,099.12","7,072.53"
04/20/2023,"7,149.47","7,109.98"
04/19/2023,"7,112.25","7,043.00"
04/18/2023,"7,062.88","6,943.22"
04/17/2023,"6,927.93","6,913.81"
04/14/2023,"6,891.00","6,815.18"
04/13/2023,"6,794.96","6,640.92"
04/12/2023,"6,658.70","6,491.02"
04/11/2023,"6,505.22","6,378.99"
